iter	Passed	Remaining
0	0	89
1	1	97
2	2	94
3	3	87
4	4	84
5	5	82
6	6	80
7	6	79
8	7	77
9	8	77
10	9	79
11	10	79
12	11	77
13	12	76
14	13	74
15	13	72
16	14	71
17	15	72
18	16	71
19	17	69
20	18	68
21	18	67
22	19	66
23	20	64
24	21	63
25	22	62
26	22	61
27	23	60
28	24	59
29	25	59
30	26	58
31	26	57
32	27	56
33	29	56
34	29	55
35	30	54
36	31	53
37	32	52
38	33	52
39	34	51
40	34	49
41	35	48
42	35	47
43	36	46
44	37	45
45	38	44
46	38	43
47	39	42
48	40	42
49	41	41
50	41	40
51	42	39
52	43	38
53	44	37
54	45	37
55	45	36
56	46	35
57	48	34
58	48	34
59	49	33
60	50	32
61	51	31
62	52	30
63	53	29
64	53	29
65	54	28
66	55	27
67	56	26
68	57	25
69	57	24
70	58	23
71	59	23
72	60	22
73	60	21
74	61	20
75	62	19
76	63	18
77	63	17
78	64	17
79	65	16
80	66	15
81	66	14
82	67	13
83	68	12
84	68	12
85	69	11
86	70	10
87	71	9
88	72	8
89	73	8
90	73	7
91	74	6
92	75	5
93	75	4
94	76	4
95	77	3
96	78	2
97	78	1
98	79	0
99	80	0
