iter	Passed	Remaining
0	153	153430
1	154	77317
2	156	51851
3	157	39100
4	158	31448
5	161	26726
6	163	23228
7	164	20428
8	165	18237
9	166	16479
10	167	15042
11	169	13986
12	170	12976
13	171	12098
14	172	11335
15	173	10661
16	174	10073
17	179	9781
18	180	9327
19	181	8900
20	185	8642
21	187	8314
22	187	7984
23	188	7682
24	190	7411
25	195	7313
26	196	7072
27	199	6916
28	200	6711
29	201	6515
30	202	6324
31	203	6144
32	203	5976
33	206	5863
34	208	5740
35	209	5599
36	209	5464
37	210	5335
38	212	5231
39	213	5128
40	214	5019
41	215	4912
42	216	4811
43	216	4714
44	217	4622
45	219	4549
46	221	4481
47	222	4404
48	222	4327
49	224	4263
50	225	4191
51	226	4122
52	227	4056
53	229	4027
54	230	3968
55	231	3909
56	232	3850
57	233	3793
58	234	3742
59	236	3708
60	237	3657
61	238	3610
62	239	3561
63	240	3514
64	241	3473
65	244	3458
66	245	3419
67	246	3379
68	247	3338
69	248	3300
70	251	3291
71	252	3258
72	253	3223
73	254	3189
74	255	3155
75	256	3123
76	259	3105
77	259	3072
78	260	3040
79	261	3008
80	262	2977
81	263	2947
82	263	2913
83	265	2892
84	267	2875
85	268	2850
86	269	2824
87	269	2797
88	270	2772
89	273	2765
90	274	2741
91	275	2718
92	276	2693
93	277	2670
94	277	2647
95	278	2625
96	280	2611
97	282	2595
98	282	2574
99	283	2552
100	284	2532
101	285	2512
102	286	2495
103	288	2485
104	289	2466
105	290	2447
106	290	2428
107	291	2409
108	292	2391
109	293	2373
110	295	2363
111	296	2350
112	297	2334
113	298	2318
114	299	2302
115	300	2287
116	301	2278
117	303	2265
118	304	2251
119	304	2236
120	305	2221
121	306	2205
122	307	2191
123	309	2187
124	311	2177
125	312	2166
126	313	2152
127	314	2139
128	315	2127
129	317	2127
130	319	2116
131	320	2104
132	321	2093
133	322	2081
134	327	2097
135	328	2088
136	329	2076
137	331	2071
138	333	2068
139	335	2058
140	336	2047
141	336	2035
142	343	2056
143	344	2047
144	349	2063
145	352	2059
146	361	2095
147	363	2090
148	364	2084
149	370	2100
150	371	2091
151	372	2080
152	376	2083
153	378	2077
154	380	2071
